epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05615,4.14137,4.33354,4.27905,0,0,0,0,3.35304,4.21841,4.15823,5.716e-05,5.716e-05,5.716e-05
2,3.04408,3.83984,4.32448,4.26392,0,0,0,0,3.35153,4.21737,4.15675,0.000127337,0.000127337,0.000127337
3,4.02121,3.94472,4.24769,4.21422,0,0,0,0,3.34866,4.21582,4.15537,0.000196099,0.000196099,0.000196099
4,4.92899,3.75614,4.18206,4.15524,0,0,0,0,3.34865,4.21737,4.15418,0.000263446,0.000263446,0.000263446
5,5.91057,3.57163,4.14227,4.14194,0,0,0,0,3.34767,4.21859,4.15524,0.000329379,0.000329379,0.000329379
6,6.7635,3.51716,4.03131,4.10037,0,0,0,0,3.35207,4.21852,4.1565,0.000393897,0.000393897,0.000393897
7,7.62965,3.47374,3.81535,4.01081,0,0,0,0,3.35262,4.22182,4.16175,0.000457,0.000457,0.000457
8,8.48318,3.33676,3.50685,3.89123,0,0,0,0,3.3733,4.22347,4.16823,0.000518688,0.000518688,0.000518688
9,9.36057,3.16052,3.34174,3.80821,0,0,0,0,3.40838,4.22982,4.18729,0.000578962,0.000578962,0.000578962
10,10.2316,3.02444,3.28441,3.74483,0,0,0,0,3.43711,4.23186,4.20514,0.000637821,0.000637821,0.000637821
11,11.1627,3.07885,3.03589,3.59753,0,0,0,0,3.45815,4.23974,4.21681,0.000695266,0.000695266,0.000695266
12,12.0988,2.90522,3.13317,3.59593,0,0,0,0,3.50921,4.2474,4.24837,0.000751295,0.000751295,0.000751295
13,12.952,2.75029,2.84417,3.39612,0,0,0,0,3.54393,4.25587,4.27053,0.00080591,0.00080591,0.00080591
14,13.8143,2.53941,2.66396,3.24595,0,0,0,0,3.62768,4.26799,4.32835,0.000859111,0.000859111,0.000859111
15,14.6768,2.4504,2.58012,3.21647,0,0,0,0,3.5718,4.27808,4.29982,0.000910896,0.000910896,0.000910896
16,15.5491,2.30192,2.4546,3.07168,0,0,0,0,3.47363,4.27451,4.23562,0.000961267,0.000961267,0.000961267
17,16.3941,2.27731,2.25921,2.99887,0,0,0,0,3.21839,4.26248,4.0951,0.00101022,0.00101022,0.00101022
18,17.2447,2.44567,2.3212,3.00555,0,0,0,0,3.13489,4.24933,4.04131,0.00105776,0.00105776,0.00105776
19,18.0602,2.23352,2.16462,2.85938,0.00175,0.07407,0.00107,0.00031,3.17301,4.22221,4.0498,0.00110389,0.00110389,0.00110389
20,18.9512,2.12013,2.04502,2.79244,0.00584,0.2963,0.00609,0.00348,2.90174,4.03638,3.70191,0.0011486,0.0011486,0.0011486
21,19.9003,2.09334,1.89593,2.64786,0.00606,0.33333,0.18423,0.05969,2.80887,3.91889,3.64781,0.00114606,0.00114606,0.00114606
22,20.7654,2.17723,1.91526,2.76626,0.00579,0.33333,0.29628,0.13557,2.78571,3.73741,3.65853,0.00113191,0.00113191,0.00113191
23,21.6188,2.04322,1.82694,2.57079,1,0.25512,0.33167,0.10716,2.89202,3.67067,3.71256,0.00111776,0.00111776,0.00111776
24,22.4899,2.08274,1.92436,2.67397,0.00543,0.33333,0.30417,0.1699,2.64515,3.74829,3.58121,0.00110362,0.00110362,0.00110362
25,23.3376,2.02311,1.85929,2.577,0.00574,0.37037,0.30548,0.13782,2.63147,3.73698,3.55691,0.00108947,0.00108947,0.00108947
26,24.2098,1.96422,1.78345,2.59503,0.00771,0.66667,0.31907,0.17468,2.21918,3.34832,3.214,0.00107532,0.00107532,0.00107532
27,25.0594,1.92576,1.84554,2.57749,0.19929,0.2963,0.26728,0.16159,2.13049,3.30746,3.1668,0.00106118,0.00106118,0.00106118
28,25.9171,1.93497,1.70004,2.47678,0.00989,0.66667,0.19336,0.12693,2.07016,3.51775,3.21645,0.00104703,0.00104703,0.00104703
29,26.7274,1.85572,1.72425,2.41853,0.01061,0.81481,0.5546,0.30419,1.93493,3.11091,2.98235,0.00103288,0.00103288,0.00103288
30,27.6156,1.83993,1.65972,2.37969,0.88714,0.46802,0.63989,0.38525,1.79062,2.483,2.74872,0.00101873,0.00101873,0.00101873
31,28.4853,1.78308,1.58189,2.32247,0.92293,0.58233,0.76189,0.44353,1.7063,2.10352,2.54461,0.00100459,0.00100459,0.00100459
32,29.3957,1.81278,1.51332,2.29493,0.81279,0.69414,0.87281,0.49529,1.45905,1.71576,2.32117,0.00099044,0.00099044,0.00099044
33,30.253,1.66879,1.38305,2.17005,0.66542,0.6869,0.8385,0.52177,1.33643,1.58394,2.20439,0.000976293,0.000976293,0.000976293
34,31.1265,1.82636,1.53152,2.34435,0.77493,0.78301,0.88342,0.54177,1.33617,1.39755,2.15737,0.000962146,0.000962146,0.000962146
35,31.9691,1.75144,1.50601,2.24409,0.86144,0.92159,0.92108,0.58657,1.33049,1.26962,2.14433,0.000947999,0.000947999,0.000947999
36,32.8771,1.75677,1.38534,2.17657,0.98939,0.86919,0.95383,0.63953,1.34081,1.05981,2.08493,0.000933851,0.000933851,0.000933851
