epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4214,3.42283,4.25051,4.05144,0.00108,0.23501,0.00403,0.00087,3.58465,4.04835,4.04999,0.00032963,0.00032963,0.00032963
2,105.405,2.90693,3.52029,3.46809,0.47319,0.09059,0.04195,0.00945,3.16989,5.94826,3.51951,0.0006564,0.0006564,0.0006564
3,157.139,2.60884,3.09898,3.04807,0.23472,0.11701,0.04369,0.01155,3.11127,4.98636,3.45081,0.00097657,0.00097657,0.00097657
4,209.072,2.3963,2.89375,2.79228,0.34483,0.12763,0.10396,0.03381,2.5762,3.28481,2.88481,0.0009703,0.0009703,0.0009703
5,260.254,2.25242,2.68593,2.64578,0.44379,0.11778,0.09087,0.02954,2.58178,3.61155,2.75453,0.0009604,0.0009604,0.0009604
6,312.253,2.12573,2.48951,2.51456,0.32754,0.13725,0.09917,0.03274,2.48188,3.23261,2.76706,0.0009505,0.0009505,0.0009505
7,363.517,2.01538,2.36184,2.42561,0.42098,0.24337,0.23269,0.08241,2.33699,2.64239,2.61798,0.0009406,0.0009406,0.0009406
8,414.868,1.98549,2.28159,2.37137,0.17808,0.29555,0.20748,0.06922,2.37289,2.73222,2.61493,0.0009307,0.0009307,0.0009307
9,466.551,1.90004,2.1897,2.29256,0.23879,0.334,0.22541,0.08193,2.40619,2.87936,2.66792,0.0009208,0.0009208,0.0009208
10,517.462,1.85744,2.09761,2.25593,0.40018,0.31852,0.26648,0.0979,2.1412,2.58913,2.41644,0.0009109,0.0009109,0.0009109
11,568.584,1.8076,2.05022,2.20815,0.51983,0.37642,0.39293,0.1623,2.10787,2.32178,2.36508,0.000901,0.000901,0.000901
12,619.665,1.78663,2.02304,2.1947,0.26693,0.44122,0.29437,0.11122,2.14539,2.47146,2.42299,0.0008911,0.0008911,0.0008911
13,670.707,1.75785,1.95691,2.14473,0.43344,0.52823,0.45558,0.18993,1.97593,2.06905,2.21085,0.0008812,0.0008812,0.0008812
14,721.902,1.75937,1.95422,2.14131,0.53862,0.42994,0.43613,0.17611,2.05881,2.27524,2.28405,0.0008713,0.0008713,0.0008713
15,772.966,1.71209,1.89334,2.10755,0.45613,0.56681,0.53399,0.22282,1.95932,1.95413,2.20532,0.0008614,0.0008614,0.0008614
16,824.194,1.68721,1.83545,2.07634,0.57041,0.50321,0.50951,0.21257,1.97628,1.99065,2.23658,0.0008515,0.0008515,0.0008515
17,875.219,1.69468,1.87147,2.08855,0.39765,0.44708,0.41644,0.16719,2.01976,2.17991,2.30774,0.0008416,0.0008416,0.0008416
18,927.325,1.66115,1.82432,2.04403,0.53474,0.45561,0.4725,0.20499,1.9477,2.12517,2.24756,0.0008317,0.0008317,0.0008317
19,978.438,1.64172,1.78831,2.01974,0.41661,0.58961,0.49031,0.20063,1.8775,2.04993,2.1969,0.0008218,0.0008218,0.0008218
