epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,723.267,1.56179,1.80689,2.04623,0.7001,0.47111,0.56049,0.24895,1.84041,1.76754,2.20195,0.0005941,0.0005941,0.0005941
43,740.371,1.58645,1.84279,2.07041,0.59408,0.50527,0.5523,0.25164,1.79947,1.82868,2.17899,0.0005842,0.0005842,0.0005842
44,757.282,1.56153,1.78512,2.03573,0.49371,0.60421,0.58809,0.26864,1.8266,1.68404,2.19452,0.0005743,0.0005743,0.0005743
45,774.288,1.55329,1.77422,2.03375,0.47521,0.62934,0.61221,0.27658,1.77695,1.70698,2.15726,0.0005644,0.0005644,0.0005644
46,791.276,1.55332,1.78475,2.02535,0.5097,0.62375,0.60186,0.26847,1.79421,1.71035,2.16097,0.0005545,0.0005545,0.0005545
47,808.29,1.56605,1.79118,2.05595,0.46569,0.57516,0.5781,0.27036,1.78514,1.73901,2.18947,0.0005446,0.0005446,0.0005446
48,825.262,1.54127,1.76514,2.02514,0.4853,0.57331,0.55751,0.25351,1.82563,1.76472,2.19656,0.0005347,0.0005347,0.0005347
49,842.28,1.54626,1.77309,2.0375,0.50477,0.63033,0.59299,0.26903,1.79124,1.75141,2.18479,0.0005248,0.0005248,0.0005248
50,859.21,1.53483,1.73385,2.02219,0.52733,0.64843,0.60532,0.28505,1.75905,1.74006,2.14116,0.0005149,0.0005149,0.0005149
51,876.237,1.53602,1.77015,2.02161,0.50566,0.57914,0.57357,0.25554,1.79787,1.77424,2.192,0.000505,0.000505,0.000505
52,893.187,1.54222,1.74544,2.02922,0.4106,0.48317,0.46409,0.20005,1.93546,1.98827,2.28608,0.0004951,0.0004951,0.0004951
53,910.16,1.55196,1.77702,2.0268,0.6214,0.58323,0.62969,0.28316,1.8071,1.63874,2.17067,0.0004852,0.0004852,0.0004852
54,927.348,1.52975,1.75623,2.02133,0.47336,0.61927,0.58562,0.2707,1.78512,1.72216,2.15144,0.0004753,0.0004753,0.0004753
55,944.36,1.53826,1.74803,2.01961,0.50784,0.63705,0.61299,0.27762,1.76391,1.72297,2.15085,0.0004654,0.0004654,0.0004654
56,961.433,1.51774,1.72155,2.00089,0.50557,0.64884,0.62012,0.29525,1.74713,1.67538,2.11655,0.0004555,0.0004555,0.0004555
57,978.409,1.52393,1.72587,1.99592,0.49501,0.63979,0.60662,0.28746,1.70942,1.66659,2.09354,0.0004456,0.0004456,0.0004456
58,995.33,1.50843,1.69375,1.99185,0.54009,0.61038,0.59995,0.26669,1.82194,1.67788,2.18278,0.0004357,0.0004357,0.0004357
59,1012.34,1.49727,1.68386,1.97887,0.48356,0.64837,0.62792,0.29581,1.71423,1.66609,2.11479,0.0004258,0.0004258,0.0004258
60,1029.38,1.505,1.70426,1.98503,0.5614,0.60191,0.61518,0.28398,1.7391,1.67486,2.14034,0.0004159,0.0004159,0.0004159
61,1046.32,1.49298,1.67031,1.97714,0.54572,0.65155,0.63839,0.30656,1.6775,1.62571,2.06465,0.000406,0.000406,0.000406
62,1063.33,1.52721,1.70294,1.99918,0.47335,0.55242,0.52285,0.22007,1.87102,2.00453,2.25474,0.0003961,0.0003961,0.0003961
63,1080.42,1.48219,1.67484,1.97716,0.49485,0.58266,0.57612,0.26078,1.72409,1.73726,2.13091,0.0003862,0.0003862,0.0003862
