epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0
51,904.027,1.46541,1.54856,1.88111,0.62401,0.56111,0.59572,0.26748,1.82214,1.75052,2.13959,0.00471771
52,921.697,1.44926,1.53072,1.88025,0.48994,0.58278,0.56051,0.24767,1.86821,1.77441,2.18984,0.00456487
53,939.131,1.45314,1.5402,1.87368,0.48678,0.58455,0.53359,0.23538,1.92656,1.95784,2.27386,0.00441233
54,956.578,1.46021,1.52736,1.87466,0.29662,0.28294,0.19508,0.06766,2.52344,3.61289,2.92396,0.00426024
55,974.03,1.43022,1.49104,1.84441,0.5122,0.67204,0.64822,0.29437,1.78806,1.66873,2.10759,0.00410876
56,991.432,1.42546,1.47831,1.84807,0.47163,0.62227,0.59165,0.2622,1.80728,1.7548,2.15781,0.00395802
57,1008.95,1.42766,1.49734,1.86971,0.46116,0.49085,0.49494,0.20372,1.97715,2.03198,2.3578,0.00380819
58,1026.43,1.41654,1.49028,1.8318,0.59893,0.59186,0.63844,0.28856,1.77662,1.65653,2.10684,0.00365941
59,1043.84,1.43116,1.48508,1.8508,0.5499,0.61634,0.63936,0.28829,1.77414,1.68979,2.10342,0.00351182
60,1061.36,1.42133,1.47366,1.84897,0.55372,0.67367,0.66258,0.29544,1.77131,1.62172,2.10652,0.00336557
61,1078.82,1.4108,1.47448,1.83634,0.50659,0.60279,0.57508,0.2595,1.84504,1.76491,2.15935,0.00322081
62,1096.21,1.4009,1.46723,1.84345,0.52502,0.68854,0.65093,0.29991,1.73134,1.58433,2.04524,0.00307768
63,1113.74,1.40548,1.46161,1.83001,0.54029,0.6773,0.65933,0.31182,1.72544,1.60491,2.08174,0.00293631
64,1131.19,1.40674,1.45955,1.83323,0.54997,0.62857,0.66162,0.30025,1.74931,1.65549,2.10376,0.00279686
65,1148.67,1.39646,1.44457,1.82115,0.51214,0.71533,0.65793,0.31412,1.73068,1.60771,2.04753,0.00265945
66,1166.03,1.39922,1.44247,1.81826,0.53859,0.60538,0.62086,0.28805,1.77063,1.71355,2.12,0.00252422
67,1183.49,1.37862,1.40901,1.79994,0.55272,0.66938,0.66849,0.30851,1.74488,1.57199,2.11752,0.00239131
68,1200.98,1.37529,1.40947,1.80733,0.53066,0.61994,0.61578,0.2767,1.78705,1.70694,2.12021,0.00226085
69,1218.45,1.38811,1.42619,1.81531,0.56628,0.66111,0.66625,0.32015,1.70285,1.56785,2.05016,0.00213296
70,1235.95,1.39363,1.42463,1.8228,0.56981,0.67365,0.68168,0.32537,1.69486,1.52071,2.0433,0.00200778
71,1253.35,1.39035,1.3945,1.80852,0.57437,0.6779,0.65436,0.32008,1.69568,1.5634,2.03611,0.00188541
72,1270.8,1.3746,1.40149,1.79202,0.59549,0.64925,0.67709,0.31631,1.709,1.56699,2.06639,0.001766
73,1288.28,1.34938,1.37619,1.7798,0.57331,0.64935,0.6655,0.31412,1.70545,1.55309,2.05947,0.00164965
74,1305.72,1.35497,1.38889,1.78679,0.51345,0.70108,0.65021,0.31191,1.69361,1.57664,2.04149,0.00153648
75,1323.15,1.34228,1.39806,1.78826,0.5787,0.6559,0.67848,0.32959,1.68372,1.52286,2.04413,0.0014266
76,1340.87,1.36171,1.39611,1.80402,0.55601,0.60177,0.61985,0.27734,1.81479,1.69124,2.1576,0.00132011
77,1358.3,1.33339,1.37128,1.77763,0.62628,0.66761,0.69252,0.32798,1.70137,1.50005,2.06118,0.00121713
78,1375.73,1.34035,1.37073,1.78032,0.62949,0.65076,0.69603,0.33334,1.68696,1.50535,2.05006,0.00111776
79,1393.12,1.35958,1.35533,1.79404,0.59474,0.65563,0.67286,0.32378,1.69431,1.54884,2.04925,0.00102209
80,1410.64,1.36273,1.39045,1.78462,0.57251,0.68359,0.67963,0.32854,1.68811,1.51504,2.04865,0.000930222
81,1428.15,1.32214,1.33758,1.75875,0.6042,0.6248,0.65432,0.30353,1.73867,1.5931,2.09905,0.000842239
82,1445.71,1.32659,1.34521,1.77193,0.58152,0.69049,0.6869,0.32879,1.67931,1.51697,2.05348,0.000758233
83,1463.11,1.32099,1.33398,1.76712,0.59668,0.67876,0.68541,0.33121,1.68712,1.52302,2.05593,0.000678284
84,1480.69,1.33539,1.34644,1.77755,0.59011,0.68855,0.68545,0.33223,1.68738,1.52257,2.06286,0.000602473
85,1498.22,1.31269,1.33201,1.75758,0.57206,0.69442,0.6891,0.3366,1.66693,1.49771,2.03608,0.000530875
86,1515.74,1.32883,1.34711,1.76883,0.56771,0.69132,0.68583,0.33105,1.69465,1.5153,2.06817,0.000463559
87,1533.18,1.32374,1.33875,1.76547,0.61807,0.65795,0.68523,0.33095,1.68111,1.5213,2.04494,0.000400593
88,1550.64,1.31167,1.32871,1.75635,0.58598,0.67477,0.68936,0.33145,1.67918,1.52306,2.04556,0.000342038
89,1568.18,1.32142,1.32291,1.76468,0.56039,0.69189,0.68036,0.32915,1.68926,1.52352,2.04427,0.000287952
90,1585.63,1.31858,1.32836,1.74238,0.6015,0.67311,0.68672,0.33306,1.68003,1.51307,2.0448,0.000238389
91,1616.11,1.4521,1.4203,1.82734,0.62892,0.66658,0.6862,0.32702,1.69592,1.50967,2.04622,0.000193398
92,1633.61,1.42934,1.36259,1.79843,0.619,0.66927,0.6781,0.32626,1.69623,1.50163,2.04743,0.000153022
93,1650.97,1.4081,1.33868,1.79332,0.61219,0.67976,0.68266,0.32803,1.68701,1.50227,2.04623,0.000117302
94,1668.34,1.40375,1.31592,1.79377,0.61087,0.66233,0.68255,0.32988,1.68752,1.49866,2.04579,8.62735e-05
95,1685.65,1.4132,1.32626,1.79446,0.59734,0.6778,0.68319,0.33185,1.6838,1.48938,2.04321,5.99664e-05
96,1703.18,1.4131,1.32951,1.78822,0.59063,0.67822,0.6804,0.33035,1.68917,1.48905,2.0496,3.8407e-05
97,1720.52,1.40767,1.31949,1.78957,0.61856,0.66693,0.6832,0.33056,1.68644,1.49073,2.05054,2.16164e-05
98,1737.82,1.40489,1.31672,1.79631,0.60264,0.67739,0.68541,0.33113,1.68472,1.48895,2.04602,9.61122e-06
99,1755.38,1.41235,1.3265,1.79872,0.59815,0.67673,0.68241,0.33028,1.68782,1.49121,2.04992,2.4034e-06
100,1772.77,1.4072,1.31633,1.78669,0.60803,0.67915,0.68587,0.33094,1.68531,1.48993,2.04952,0
