epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6758,3.45907,4.49582,4.10751,0.00098,0.19456,0.00257,0.00065,3.57297,4.23931,4.12297,0.00032963,0.00032963,0.00032963
2,39.2568,2.99722,4.04485,3.61103,0.71454,0.03921,0.02258,0.00607,3.20355,3.70148,3.73946,0.0006564,0.0006564,0.0006564
3,55.9468,2.71941,3.66663,3.18289,0.02476,0.11759,0.02737,0.00735,3.01983,4.08423,3.45825,0.00097657,0.00097657,0.00097657
4,72.3908,2.53422,3.43365,2.93395,0.21779,0.09817,0.06137,0.01866,2.61942,3.85039,3.00725,0.0009703,0.0009703,0.0009703
5,88.6696,2.34989,3.12036,2.76596,0.42659,0.16234,0.08776,0.03046,2.53678,3.66699,2.85498,0.0009604,0.0009604,0.0009604
6,104.99,2.2074,2.90966,2.62359,0.14485,0.29487,0.1367,0.04702,2.44473,3.25939,2.78155,0.0009505,0.0009505,0.0009505
7,121.238,2.07335,2.6664,2.51477,0.18972,0.36336,0.18979,0.06907,2.33857,2.75238,2.64206,0.0009406,0.0009406,0.0009406
8,137.553,2.0175,2.53466,2.42521,0.34361,0.44474,0.32015,0.1128,2.15713,2.36519,2.46992,0.0009307,0.0009307,0.0009307
9,153.79,1.92202,2.42446,2.34851,0.4459,0.35159,0.30099,0.11247,2.11857,2.40936,2.42781,0.0009208,0.0009208,0.0009208
10,170.001,1.883,2.33946,2.31892,0.47928,0.36318,0.31255,0.11758,2.04595,2.35275,2.3764,0.0009109,0.0009109,0.0009109
11,186.185,1.82849,2.24127,2.24267,0.31734,0.53194,0.35828,0.13503,2.05874,2.4185,2.3798,0.000901,0.000901,0.000901
12,202.386,1.79785,2.17685,2.22218,0.335,0.4448,0.33217,0.12641,2.02758,2.41706,2.35735,0.0008911,0.0008911,0.0008911
13,218.697,1.78459,2.1451,2.1907,0.34329,0.50693,0.38051,0.1431,2.12803,2.30566,2.39007,0.0008812,0.0008812,0.0008812
14,234.924,1.77091,2.10806,2.16726,0.57774,0.42597,0.4521,0.17617,1.95168,2.12182,2.24369,0.0008713,0.0008713,0.0008713
