epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,78.5506,0.48483,0.31151,0.89089,0.99327,1,0.995,0.93024,0.39788,0.23351,0.85866,0.000820675,0.000820675,0.000820675
45,80.2353,0.51417,0.33169,0.90445,0.99373,1,0.995,0.91467,0.45791,0.25279,0.87513,0.000806528,0.000806528,0.000806528
46,81.9561,0.49561,0.31108,0.88777,0.99426,1,0.995,0.92829,0.39336,0.22639,0.84798,0.00079238,0.00079238,0.00079238
47,83.658,0.47698,0.32781,0.87213,0.99408,1,0.995,0.91692,0.38803,0.21744,0.84855,0.000778233,0.000778233,0.000778233
48,85.3696,0.50151,0.31614,0.90982,0.9935,1,0.995,0.93314,0.36688,0.20765,0.84723,0.000764086,0.000764086,0.000764086
49,87.0722,0.47025,0.30298,0.88915,0.99293,1,0.995,0.92334,0.3681,0.20807,0.85035,0.000749939,0.000749939,0.000749939
50,88.842,0.44605,0.28729,0.87771,0.99351,1,0.995,0.92353,0.36852,0.20444,0.85319,0.000735792,0.000735792,0.000735792
51,90.5599,0.45417,0.2826,0.87588,0.99251,1,0.995,0.92473,0.40334,0.22982,0.86412,0.000721645,0.000721645,0.000721645
52,92.2667,0.44763,0.28998,0.88225,0.99047,1,0.995,0.93772,0.40201,0.22362,0.86372,0.000707498,0.000707498,0.000707498
53,93.9479,0.43742,0.29115,0.86235,0.9868,1,0.995,0.94579,0.34866,0.21708,0.84838,0.000693351,0.000693351,0.000693351
54,95.945,0.46591,0.30411,0.90092,0.99252,1,0.995,0.91951,0.39347,0.22711,0.85412,0.000679204,0.000679204,0.000679204
55,97.6347,0.47516,0.30499,0.87794,0.99382,1,0.995,0.93293,0.38054,0.21706,0.85064,0.000665057,0.000665057,0.000665057
56,99.3182,0.46916,0.29343,0.88123,0.99222,1,0.995,0.94568,0.35893,0.20808,0.84361,0.000650909,0.000650909,0.000650909
57,101.076,0.45757,0.30208,0.89544,0.98869,1,0.995,0.93279,0.35253,0.22378,0.84353,0.000636762,0.000636762,0.000636762
58,102.867,0.43739,0.28119,0.863,0.99146,1,0.995,0.92933,0.36958,0.23198,0.84633,0.000622615,0.000622615,0.000622615
59,104.595,0.4589,0.2969,0.91098,0.99201,1,0.995,0.93172,0.38485,0.22074,0.85621,0.000608468,0.000608468,0.000608468
60,106.298,0.45545,0.30428,0.88263,0.99313,1,0.995,0.92704,0.38008,0.21796,0.85551,0.000594321,0.000594321,0.000594321
61,107.994,0.4291,0.27859,0.87783,0.9937,1,0.995,0.94204,0.36364,0.21828,0.84569,0.000580174,0.000580174,0.000580174
62,109.721,0.47037,0.30797,0.89349,0.99284,1,0.995,0.93597,0.3559,0.20995,0.84029,0.000566027,0.000566027,0.000566027
63,111.472,0.43799,0.29558,0.87663,0.99188,1,0.995,0.93235,0.35144,0.22775,0.84187,0.00055188,0.00055188,0.00055188
64,113.197,0.41723,0.26522,0.86071,0.99038,1,0.995,0.93924,0.37625,0.22684,0.8497,0.000537733,0.000537733,0.000537733
65,114.886,0.46999,0.28863,0.88818,0.99135,1,0.995,0.94014,0.36783,0.22007,0.85193,0.000523586,0.000523586,0.000523586
66,116.594,0.42614,0.27958,0.86825,0.99367,1,0.995,0.94208,0.35485,0.20316,0.84799,0.000509438,0.000509438,0.000509438
67,118.292,0.47056,0.27,0.91308,0.9937,1,0.995,0.94487,0.35053,0.19983,0.84552,0.000495291,0.000495291,0.000495291
68,120.009,0.40416,0.29043,0.86971,0.99304,1,0.995,0.94269,0.33776,0.18866,0.84681,0.000481144,0.000481144,0.000481144
69,121.686,0.3958,0.25882,0.86514,0.99194,1,0.995,0.94959,0.35178,0.19927,0.84963,0.000466997,0.000466997,0.000466997
70,123.708,0.43815,0.27737,0.86122,0.99278,1,0.995,0.95878,0.33336,0.20068,0.84245,0.00045285,0.00045285,0.00045285
71,125.772,0.38642,0.26103,0.84804,0.99355,1,0.995,0.95586,0.34028,0.18927,0.8447,0.000438703,0.000438703,0.000438703
72,127.492,0.39157,0.25144,0.85386,0.99414,1,0.995,0.96267,0.32394,0.1891,0.83941,0.000424556,0.000424556,0.000424556
73,129.506,0.39587,0.26296,0.87205,0.99431,1,0.995,0.953,0.32322,0.19551,0.84292,0.000410409,0.000410409,0.000410409
74,131.221,0.41177,0.27501,0.85816,0.99082,1,0.995,0.96312,0.33923,0.19467,0.84665,0.000396262,0.000396262,0.000396262
