epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0
50,724.596,1.32299,1.27881,1.4775,0.42478,0.48133,0.45371,0.21534,1.97812,2.33,2.27617,0.0048707
51,739.007,1.32382,1.28048,1.46746,0.60265,0.62716,0.66019,0.32936,1.62138,1.45316,1.81607,0.00471771
52,753.201,1.30975,1.27783,1.46245,0.63591,0.68709,0.7185,0.37808,1.55878,1.33119,1.76304,0.00456487
53,767.579,1.29899,1.26957,1.45654,0.42028,0.47666,0.44833,0.21547,1.91726,2.24956,2.15104,0.00441233
54,781.867,1.30403,1.25348,1.45913,0.63917,0.64767,0.70199,0.35476,1.61653,1.39903,1.79848,0.00426024
55,796.293,1.27402,1.21283,1.4341,0.60567,0.69086,0.71716,0.36349,1.55148,1.33858,1.77901,0.00410876
56,810.71,1.27557,1.21188,1.44484,0.6422,0.63811,0.68496,0.34844,1.62268,1.43503,1.81718,0.00395802
57,824.988,1.28932,1.24483,1.46008,0.51569,0.45661,0.50044,0.23022,1.93539,2.14762,2.16322,0.00380819
58,839.281,1.28173,1.23111,1.43436,0.66727,0.67762,0.73959,0.38428,1.54884,1.31358,1.74446,0.00365941
59,853.419,1.27623,1.20756,1.43763,0.62514,0.6873,0.74357,0.38345,1.54574,1.32335,1.75089,0.00351182
60,867.72,1.28613,1.21248,1.44786,0.61561,0.62151,0.67256,0.33198,1.65265,1.46024,1.8262,0.00336557
61,882.046,1.26174,1.18058,1.42527,0.64967,0.54441,0.61537,0.29848,1.72331,1.59778,1.86891,0.00322081
62,896.281,1.26864,1.19393,1.43319,0.6477,0.68853,0.73518,0.39046,1.53519,1.2858,1.73497,0.00307768
63,910.528,1.25429,1.19106,1.42016,0.36344,0.37249,0.37135,0.17232,2.05915,2.69222,2.24598,0.00293631
64,924.864,1.25926,1.18248,1.431,0.63596,0.69748,0.72805,0.3763,1.56467,1.36176,1.74719,0.00279686
65,939.225,1.2444,1.17428,1.41752,0.66363,0.66255,0.72917,0.38481,1.52635,1.29906,1.73455,0.00265945
66,953.623,1.25078,1.16051,1.41305,0.6494,0.6667,0.72079,0.38263,1.53956,1.31083,1.72687,0.00252422
67,968.205,1.2226,1.1282,1.39587,0.68894,0.62618,0.70309,0.3573,1.59276,1.40293,1.79107,0.00239131
68,982.445,1.22893,1.13826,1.40076,0.73287,0.65625,0.74895,0.37724,1.58766,1.29419,1.77074,0.00226085
69,996.69,1.23844,1.13953,1.4156,0.6651,0.62894,0.69587,0.35662,1.58036,1.38096,1.78591,0.00213296
70,1010.96,1.24456,1.14707,1.41597,0.59969,0.67781,0.69511,0.35209,1.58117,1.37963,1.76811,0.00200778
71,1025.19,1.22586,1.12452,1.40324,0.66435,0.66598,0.72794,0.38892,1.53503,1.2763,1.73611,0.00188541
72,1039.39,1.22437,1.10487,1.39616,0.69208,0.68621,0.73739,0.39199,1.52602,1.26142,1.73445,0.001766
73,1053.72,1.19288,1.10117,1.3808,0.61966,0.69174,0.7189,0.37544,1.55912,1.30347,1.76044,0.00164965
74,1068.05,1.20547,1.11052,1.3952,0.61205,0.61999,0.65277,0.32467,1.63272,1.50027,1.81561,0.00153648
75,1082.25,1.19214,1.10549,1.3925,0.70359,0.65824,0.73678,0.3946,1.51634,1.29134,1.71942,0.0014266
76,1096.58,1.21295,1.11426,1.39887,0.64384,0.69249,0.739,0.38932,1.55005,1.26948,1.74859,0.00132011
77,1110.82,1.17761,1.0909,1.378,0.69852,0.69056,0.75108,0.40337,1.52202,1.24406,1.724,0.00121713
