epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3002,3.56106,4.49729,4.1799,0.00084,0.20794,0.00096,0.00029,3.58817,4.09407,4.10496,0.00032963,0.00032963,0.00032963
2,33.431,3.31381,4.25649,3.8272,0.50705,0.04128,0.00803,0.00154,3.51628,3.87614,3.78314,0.0006564,0.0006564,0.0006564
3,49.558,2.87016,3.91651,3.28422,0.20648,0.04496,0.01825,0.0041,3.03405,4.1602,3.29126,0.00097657,0.00097657,0.00097657
4,65.382,2.56819,3.52374,2.93447,0.38005,0.20061,0.03286,0.00906,2.78033,4.58174,3.04656,0.0009703,0.0009703,0.0009703
5,81.0948,2.37518,3.18502,2.73787,0.21296,0.13178,0.03049,0.00728,2.7755,4.00779,3.02179,0.0009604,0.0009604,0.0009604
6,96.6753,2.227,2.97795,2.61363,0.59324,0.13753,0.14848,0.05105,2.54849,3.16868,2.89587,0.0009505,0.0009505,0.0009505
7,112.283,2.10661,2.8211,2.49326,0.34604,0.2422,0.15364,0.05695,2.41405,3.26238,2.66103,0.0009406,0.0009406,0.0009406
8,127.93,2.02334,2.63341,2.41772,0.40735,0.25025,0.20458,0.07585,2.22888,2.80937,2.4795,0.0009307,0.0009307,0.0009307
9,143.529,1.96927,2.52389,2.35518,0.27559,0.1841,0.11271,0.03958,2.43836,3.34652,2.6728,0.0009208,0.0009208,0.0009208
10,159.185,1.87952,2.39937,2.29108,0.45763,0.31663,0.30718,0.11806,2.14401,2.45071,2.39531,0.0009109,0.0009109,0.0009109
11,174.785,1.85566,2.32054,2.22874,0.46481,0.35237,0.35009,0.14603,2.06585,2.27096,2.30521,0.000901,0.000901,0.000901
12,190.411,1.82999,2.26581,2.197,0.28815,0.39611,0.30225,0.11673,2.09024,2.49416,2.34211,0.0008911,0.0008911,0.0008911
13,206.192,1.77643,2.18388,2.15952,0.55156,0.38845,0.40346,0.16317,2.01921,2.16513,2.29137,0.0008812,0.0008812,0.0008812
14,221.833,1.7693,2.14703,2.1382,0.38598,0.43722,0.30242,0.10358,2.1581,2.54691,2.39064,0.0008713,0.0008713,0.0008713
15,237.422,1.73364,2.09776,2.09036,0.36821,0.3512,0.28893,0.12142,2.18337,2.52309,2.43914,0.0008614,0.0008614,0.0008614
16,253.01,1.72534,2.07477,2.10203,0.50906,0.46897,0.44921,0.19034,1.99725,2.05267,2.26162,0.0008515,0.0008515,0.0008515
17,268.687,1.70444,2.03104,2.07064,0.35755,0.40463,0.32478,0.13442,2.09885,2.35067,2.34592,0.0008416,0.0008416,0.0008416
18,284.268,1.71436,2.04541,2.08573,0.44143,0.46066,0.37197,0.15213,2.03153,2.29644,2.30422,0.0008317,0.0008317,0.0008317
19,299.845,1.67636,1.95404,2.0361,0.52023,0.43032,0.38401,0.16637,2.00672,2.18354,2.26753,0.0008218,0.0008218,0.0008218
20,315.385,1.65003,1.93474,2.02727,0.32637,0.49985,0.36943,0.1476,2.00706,2.39316,2.27344,0.0008119,0.0008119,0.0008119
21,330.936,1.66283,1.93408,2.02844,0.40909,0.46419,0.48186,0.19759,1.96618,2.00345,2.20811,0.000802,0.000802,0.000802
22,346.559,1.64701,1.90379,2.00085,0.46034,0.52268,0.47808,0.20507,1.89918,2.01651,2.13389,0.0007921,0.0007921,0.0007921
23,362.149,1.63254,1.85835,1.98994,0.60136,0.4537,0.44933,0.20398,1.94855,2.03107,2.19173,0.0007822,0.0007822,0.0007822
24,377.733,1.62765,1.84749,1.98897,0.52633,0.37884,0.37687,0.15756,2.05967,2.15846,2.2664,0.0007723,0.0007723,0.0007723
25,393.272,1.60606,1.83559,1.96895,0.54337,0.38211,0.42865,0.18841,1.92864,2.00418,2.16761,0.0007624,0.0007624,0.0007624
26,408.952,1.6218,1.81007,1.96995,0.41238,0.5745,0.46999,0.20691,1.92973,2.06309,2.1712,0.0007525,0.0007525,0.0007525
27,424.561,1.60423,1.80812,1.96577,0.62454,0.41768,0.4806,0.21579,1.91352,2.10931,2.16138,0.0007426,0.0007426,0.0007426
28,440.119,1.56871,1.77232,1.93899,0.62132,0.49039,0.53458,0.2498,1.84758,1.86269,2.11442,0.0007327,0.0007327,0.0007327
29,455.69,1.59649,1.81405,1.96453,0.38196,0.31673,0.27961,0.11828,2.27071,2.77474,2.4917,0.0007228,0.0007228,0.0007228
30,471.312,1.57767,1.76806,1.9345,0.6198,0.44738,0.52632,0.24287,1.85012,1.83886,2.07199,0.0007129,0.0007129,0.0007129
31,486.906,1.56127,1.73693,1.92597,0.41966,0.60531,0.4991,0.23443,1.80403,1.83599,2.05625,0.000703,0.000703,0.000703
32,502.463,1.53485,1.71715,1.91088,0.47529,0.48803,0.48997,0.22094,1.85789,1.9431,2.12556,0.0006931,0.0006931,0.0006931
33,518.015,1.55413,1.73888,1.92136,0.52444,0.37073,0.32005,0.14261,1.95545,2.60558,2.22663,0.0006832,0.0006832,0.0006832
34,533.693,1.54049,1.74141,1.90291,0.48492,0.57414,0.53121,0.25228,1.80922,1.81928,2.06008,0.0006733,0.0006733,0.0006733
35,549.328,1.53472,1.72392,1.9076,0.46467,0.63361,0.55423,0.25633,1.78384,1.80239,2.04427,0.0006634,0.0006634,0.0006634
36,564.975,1.51184,1.66422,1.87785,0.54256,0.38826,0.40141,0.17425,1.9284,2.15051,2.19184,0.0006535,0.0006535,0.0006535
