epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,42.5537,0.49937,0.55166,0.8778,0.99244,1,0.995,0.94084,0.39984,0.41452,0.83958,0.000834822,0.000834822,0.000834822
44,43.5107,0.47641,0.53151,0.87272,0.98981,1,0.995,0.93157,0.40622,0.40235,0.84281,0.000820675,0.000820675,0.000820675
45,44.4753,0.50842,0.57473,0.88699,0.98919,1,0.995,0.92716,0.4081,0.40855,0.84505,0.000806528,0.000806528,0.000806528
46,45.4243,0.47587,0.53121,0.86015,0.98844,1,0.995,0.93483,0.37471,0.38831,0.84344,0.00079238,0.00079238,0.00079238
47,46.3826,0.46442,0.54896,0.86821,0.98888,1,0.995,0.92776,0.37557,0.39198,0.84,0.000778233,0.000778233,0.000778233
48,47.3301,0.48638,0.56439,0.8757,0.99203,1,0.995,0.93568,0.36354,0.39748,0.83824,0.000764086,0.000764086,0.000764086
49,48.3718,0.47977,0.54715,0.88062,0.99306,1,0.995,0.93409,0.38001,0.38346,0.84229,0.000749939,0.000749939,0.000749939
50,49.3218,0.45461,0.51331,0.85901,0.99427,1,0.995,0.92084,0.39591,0.40078,0.84603,0.000735792,0.000735792,0.000735792
51,50.2664,0.47561,0.51452,0.86472,0.99378,1,0.995,0.92146,0.37944,0.39008,0.84145,0.000721645,0.000721645,0.000721645
52,51.2154,0.47383,0.52007,0.8687,0.99375,1,0.995,0.92937,0.36999,0.36944,0.84114,0.000707498,0.000707498,0.000707498
53,52.1705,0.45888,0.50747,0.84912,0.99172,1,0.995,0.92428,0.37423,0.38222,0.84317,0.000693351,0.000693351,0.000693351
54,53.1479,0.44658,0.52249,0.85749,0.99235,1,0.995,0.93037,0.34676,0.36993,0.83503,0.000679204,0.000679204,0.000679204
55,54.1017,0.45149,0.51239,0.85052,0.99391,1,0.995,0.93425,0.34399,0.36601,0.83789,0.000665057,0.000665057,0.000665057
56,55.0675,0.44833,0.48394,0.86293,0.99302,1,0.995,0.93311,0.34286,0.35067,0.84058,0.000650909,0.000650909,0.000650909
57,56.0773,0.4443,0.52757,0.88189,0.99229,1,0.995,0.92901,0.35547,0.34262,0.84041,0.000636762,0.000636762,0.000636762
58,57.0304,0.44855,0.47789,0.85302,0.99233,1,0.995,0.92657,0.37153,0.36639,0.84562,0.000622615,0.000622615,0.000622615
59,57.969,0.45945,0.50208,0.88692,0.99213,1,0.995,0.93322,0.36553,0.35441,0.8473,0.000608468,0.000608468,0.000608468
60,58.9236,0.45351,0.47286,0.85436,0.99196,1,0.995,0.92486,0.37572,0.35692,0.85051,0.000594321,0.000594321,0.000594321
61,59.8686,0.4462,0.47784,0.86811,0.99221,1,0.995,0.92817,0.37309,0.35616,0.84532,0.000580174,0.000580174,0.000580174
62,60.8299,0.46742,0.50402,0.87546,0.99314,1,0.995,0.94041,0.34598,0.33596,0.83597,0.000566027,0.000566027,0.000566027
63,61.7725,0.45121,0.51748,0.85617,0.99342,1,0.995,0.93121,0.35161,0.34512,0.83597,0.00055188,0.00055188,0.00055188
64,62.7087,0.40797,0.4386,0.84434,0.99438,1,0.995,0.92441,0.37391,0.34493,0.83863,0.000537733,0.000537733,0.000537733
65,63.7602,0.45528,0.47143,0.86343,0.994,1,0.995,0.92728,0.38479,0.34644,0.84299,0.000523586,0.000523586,0.000523586
66,64.7208,0.43416,0.47625,0.85769,0.99404,1,0.995,0.94131,0.3366,0.33887,0.82939,0.000509438,0.000509438,0.000509438
67,65.6675,0.44499,0.46318,0.86997,0.99245,1,0.995,0.94387,0.33935,0.32924,0.83192,0.000495291,0.000495291,0.000495291
68,66.6018,0.41876,0.50176,0.85288,0.99068,1,0.995,0.95003,0.33538,0.32658,0.83714,0.000481144,0.000481144,0.000481144
69,67.5538,0.41343,0.43614,0.85378,0.98971,1,0.995,0.92443,0.34693,0.33192,0.84146,0.000466997,0.000466997,0.000466997
70,68.5012,0.43904,0.46262,0.83997,0.98814,1,0.995,0.94761,0.31382,0.33076,0.83559,0.00045285,0.00045285,0.00045285
71,69.4538,0.40597,0.42494,0.8359,0.98884,1,0.995,0.94856,0.32335,0.33415,0.83885,0.000438703,0.000438703,0.000438703
72,70.4074,0.40426,0.4216,0.84011,0.99049,1,0.995,0.94754,0.32465,0.33434,0.83796,0.000424556,0.000424556,0.000424556
73,71.3373,0.42074,0.46101,0.86035,0.99221,1,0.995,0.94782,0.32181,0.32687,0.83691,0.000410409,0.000410409,0.000410409
74,72.3564,0.41415,0.43622,0.84928,0.99233,1,0.995,0.9609,0.33843,0.32486,0.83995,0.000396262,0.000396262,0.000396262
75,73.3063,0.42933,0.44194,0.8611,0.99227,1,0.995,0.947,0.34061,0.32279,0.83982,0.000382115,0.000382115,0.000382115
76,74.2603,0.42602,0.44201,0.87007,0.99301,1,0.995,0.94854,0.33302,0.32443,0.83702,0.000367967,0.000367967,0.000367967
77,75.2037,0.39119,0.42071,0.83812,0.99321,1,0.995,0.94462,0.32505,0.3343,0.83722,0.00035382,0.00035382,0.00035382
78,76.175,0.40994,0.4131,0.83167,0.99398,1,0.995,0.95022,0.31529,0.32799,0.83914,0.000339673,0.000339673,0.000339673
79,77.1209,0.43421,0.46643,0.8549,0.99381,1,0.995,0.95097,0.31133,0.32367,0.83656,0.000325526,0.000325526,0.000325526
80,78.0525,0.43568,0.45958,0.86819,0.99357,1,0.995,0.95097,0.31903,0.32864,0.83803,0.000311379,0.000311379,0.000311379
81,78.978,0.40379,0.42689,0.84464,0.99336,1,0.995,0.94733,0.32509,0.33105,0.83961,0.000297232,0.000297232,0.000297232
82,79.9946,0.41026,0.42994,0.84924,0.99318,1,0.995,0.95021,0.32107,0.31919,0.83668,0.000283085,0.000283085,0.000283085
83,80.9437,0.39848,0.41655,0.85558,0.99367,1,0.995,0.95041,0.3232,0.31922,0.83905,0.000268938,0.000268938,0.000268938
84,81.879,0.38727,0.42531,0.85699,0.99301,1,0.995,0.94888,0.32283,0.31211,0.84094,0.000254791,0.000254791,0.000254791
85,82.8369,0.39548,0.41038,0.83877,0.99353,1,0.995,0.95252,0.31832,0.31083,0.84002,0.000240644,0.000240644,0.000240644
86,83.8091,0.39033,0.42038,0.83758,0.99392,1,0.995,0.95078,0.30608,0.30263,0.83676,0.000226497,0.000226497,0.000226497
87,84.7405,0.37889,0.42471,0.83664,0.9937,1,0.995,0.95021,0.30388,0.30281,0.83625,0.000212349,0.000212349,0.000212349
88,85.6866,0.40133,0.41577,0.84813,0.99378,1,0.995,0.94386,0.30708,0.29917,0.83566,0.000198202,0.000198202,0.000198202
89,86.6302,0.39883,0.41973,0.86131,0.99363,1,0.995,0.94077,0.30995,0.2964,0.83581,0.000184055,0.000184055,0.000184055
90,87.6442,0.39587,0.42073,0.85527,0.99371,1,0.995,0.9485,0.32212,0.29928,0.83756,0.000169908,0.000169908,0.000169908
